id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-03-03 16:12:57,"{""short_code"":""6eFfDh"",""original_url"":""https://acme.dev/rapid/quartz/1""}"
2,2,329,created,2025-02-16 10:59:03,"{""short_code"":""lWxIqN"",""original_url"":""https://seeded.app/tidy/quartz/2""}"
3,3,324,created,2025-08-14 13:53:59,"{""short_code"":""axLiqJ"",""original_url"":""https://opswise.net/warm/trail/3""}"
4,4,257,created,2025-10-18 11:39:08,"{""short_code"":""W7n3Ak"",""original_url"":""https://acme.dev/urban/engine/4""}"
5,5,238,created,2025-10-19 12:26:45,"{""short_code"":""dVggmm"",""original_url"":""https://relay.cloud/dawn/beacon/5""}"
6,6,270,created,2025-10-19 17:55:22,"{""short_code"":""z1NwLV"",""original_url"":""https://relay.cloud/gold/pioneer/6""}"
7,7,303,created,2025-07-11 05:44:55,"{""short_code"":""EZY4bd"",""original_url"":""https://acme.dev/quiet/island/7""}"
8,8,387,created,2025-05-25 00:22:27,"{""short_code"":""v6FTx5"",""original_url"":""https://opswise.net/opal/beacon/8""}"
9,9,214,created,2025-02-21 10:03:43,"{""short_code"":""riCm6T"",""original_url"":""https://seeded.app/amber/uplink/9""}"
10,10,52,created,2025-04-06 18:27:45,"{""short_code"":""hsHmL1"",""original_url"":""https://relay.cloud/harbor/quartz/10""}"
11,11,400,created,2025-09-18 15:58:02,"{""short_code"":""Jnd3O9"",""original_url"":""https://opswise.net/tidy/orbit/11""}"
12,12,230,created,2025-01-29 15:54:05,"{""short_code"":""pFvey5"",""original_url"":""https://opswise.net/proud/delta/12""}"
13,13,248,created,2025-12-04 00:29:55,"{""short_code"":""BgOjBq"",""original_url"":""https://example.com/ember/network/13""}"
14,14,33,created,2025-12-05 04:25:57,"{""short_code"":""kKTDDQ"",""original_url"":""https://opswise.net/opal/orbit/14""}"
15,15,251,created,2025-03-06 04:31:42,"{""short_code"":""MxGSMj"",""original_url"":""https://seeded.app/proud/lagoon/15""}"
16,16,192,created,2025-06-09 11:20:20,"{""short_code"":""RFsuxJ"",""original_url"":""https://seeded.app/amber/signal/16""}"
17,17,47,created,2025-03-25 07:26:56,"{""short_code"":""89ccjd"",""original_url"":""https://example.com/ember/valley/17""}"
18,18,359,created,2025-06-05 01:47:19,"{""short_code"":""1JZEYM"",""original_url"":""https://example.com/opal/beacon/18""}"
19,19,301,created,2025-05-23 01:06:25,"{""short_code"":""9egeM8"",""original_url"":""https://opswise.net/forest/engine/19""}"
20,20,31,created,2025-07-13 22:35:29,"{""short_code"":""CH8w0o"",""original_url"":""https://example.com/calm/field/20""}"
21,21,226,created,2025-09-22 08:30:42,"{""short_code"":""YrtKSG"",""original_url"":""https://acme.dev/mellow/lagoon/21""}"
22,22,227,created,2025-06-11 23:46:34,"{""short_code"":""5MH5fW"",""original_url"":""https://acme.dev/urban/engine/22""}"
23,23,71,created,2025-11-29 16:32:35,"{""short_code"":""WDNdbi"",""original_url"":""https://seeded.app/proud/trail/23""}"
24,24,170,created,2025-08-21 07:31:48,"{""short_code"":""iboAn3"",""original_url"":""https://seeded.app/jade/garden/24""}"
25,25,67,created,2025-11-01 09:08:43,"{""short_code"":""41NBB6"",""original_url"":""https://hackstack.io/keen/engine/25""}"
26,26,36,created,2025-02-28 01:44:37,"{""short_code"":""4hqxKO"",""original_url"":""https://hackstack.io/forest/canyon/26""}"
27,27,87,created,2025-11-13 21:04:36,"{""short_code"":""sHIoB8"",""original_url"":""https://hackstack.io/harbor/river/27""}"
28,28,147,created,2025-09-01 22:12:34,"{""short_code"":""b3te5J"",""original_url"":""https://hackstack.io/silver/canyon/28""}"
29,29,272,created,2025-11-30 01:58:28,"{""short_code"":""M92nXs"",""original_url"":""https://relay.cloud/mellow/zenith/29""}"
30,30,247,created,2025-09-30 01:31:41,"{""short_code"":""MCZoeX"",""original_url"":""https://seeded.app/silver/garden/30""}"
31,31,307,created,2025-06-01 15:05:51,"{""short_code"":""Z5X22l"",""original_url"":""https://example.com/vivid/harvest/31""}"
